"State","Year","Number","Rate per 1,000"
"Alabama","2012","28,385","25.4"
"Alaska","2012","9,794","52"
"Arizona","2012","64,332","39.9"
"Arkansas","2012","62,129","87.4"
"California","2012","370,439","40.3"
"Colorado","2012","41,284","33.5"
"Connecticut","2012","30,709","38.6"
"Delaware","2012","14,807","72.4"
"District of Columbia","2012","13,812","128.2"
"Florida","2012","293,839","73.3"
"Georgia","2012","110,323","44.4"
"Hawaii","2012","3,800","12.4"
"Idaho","2012","8,694","20.3"
"Illinois","2012","120,818","39.5"
"Indiana","2012","92,475","58.2"
"Iowa","2012","29,441","40.6"
"Kansas","2012","26,866","37"
"Kentucky","2012","63,705","62.6"
"Louisiana","2012","36,029","32.3"
"Maine","2012","11,204","42.2"
"Maryland","2012","31,436","23.3"
"Massachusetts","2012","62,257","44.4"
"Michigan","2012","171,585","75.6"
"Minnesota","2012","23,635","18.5"
"Mississippi","2012","32,829","44.2"
"Missouri","2012","71,912","51.2"
"Montana","2012","10,607","47.6"
"Nebraska","2012","23,910","51.6"
"Nevada","2012","22,246","33.9"
"New Hampshire","2012","11,450","41.6"
"New Jersey","2012","76,164","37.4"
"New Mexico","2012","21,899","42.8"
"New York","2012","217,663","50.9"
"North Carolina","2012","125,062","54.8"
"North Dakota","2012","6,172","39.2"
"Ohio","2012","102,734","38.5"
"Oklahoma","2012","45,539","48.5"
"Oregon","2012","33,173","38.6"
"Pennsylvania","2012","23,579","8.6"
"Puerto Rico","2012","22,793","27.3"
"Rhode Island","2012","8,571","39.5"
"South Carolina","2012","40,732","37.8"
"South Dakota","2012","5,716","27.8"
"Tennessee","2012","85,180","57.1"
"Texas","2012","250,623","35.9"
"Utah","2012","24,500","27.6"
"Vermont","2012","3,879","31.1"
"Virginia","2012","62,805","33.7"
"Washington","2012","43,730","27.5"
"West Virginia","2012","37,082","96.5"
"Wisconsin","2012","33,643","25.5"
"Wyoming","2012","5,628","41.2"
