"State","Year","Number","Rate per 1,000"
"Alabama","2014","29,342","26.6"
"Alaska","2014","10,115","54.1"
"Arizona","2014","73,141","45.2"
"Arkansas","2014","57,886","81.8"
"California","2014","367,223","40.2"
"Colorado","2014","38,159","30.6"
"Connecticut","2014","24,818","32.1"
"Delaware","2014","13,262","65.1"
"District of Columbia","2014","11,062","96.1"
"Florida","2014","288,551","71.2"
"Georgia","2014","137,222","55.1"
"Hawaii","2014","3,305","10.7"
"Idaho","2014","11,567","26.9"
"Illinois","2014","124,569","41.7"
"Indiana","2014","127,307","80.5"
"Iowa","2014","28,348","38.9"
"Kansas","2014","27,711","38.4"
"Kentucky","2014","71,674","70.7"
"Louisiana","2014","38,952","34.9"
"Maine","2014","13,286","51.2"
"Maryland","2014","31,469","23.3"
"Massachusetts","2014","77,300","55.6"
"Michigan","2014","152,411","68.4"
"Minnesota","2014","26,395","20.6"
"Mississippi","2014","31,504","43.1"
"Missouri","2014","75,302","54"
"Montana","2014","10,180","45.2"
"Nebraska","2014","22,439","48"
"Nevada","2014","25,023","37.8"
"New Hampshire","2014","11,636","43.6"
"New Jersey","2014","75,460","37.5"
"New Mexico","2014","26,805","53.5"
"New York","2014","200,748","47.5"
"North Carolina","2014","122,085","53.4"
"North Dakota","2014","6,397","37.9"
"Ohio","2014","102,517","38.8"
"Oklahoma","2014","56,084","58.8"
"Oregon","2014","37,613","43.8"
"Pennsylvania","2014","25,123","9.3"
"Puerto Rico","2014","28,109","36.6"
"Rhode Island","2014","9,374","44.2"
"South Carolina","2014","46,157","42.6"
"South Dakota","2014","4,403","21"
"Tennessee","2014","94,657","63.3"
"Texas","2014","252,773","35.5"
"Utah","2014","25,219","27.9"
"Vermont","2014","4,194","34.4"
"Virginia","2014","61,029","32.7"
"Washington","2014","42,572","26.6"
"West Virginia","2014","39,683","104.2"
"Wisconsin","2014","32,751","25.2"
"Wyoming","2014","5,630","40.7"
